Time (s),Mass (kg),,Pull force (kg)
1.910293102,0.0231,66.84666312,66.823563
1.927048922,0.0075,,66.839163
1.941064835,0.0017,,66.844963
1.952003002,0.0147,,66.831963
1.960764885,0.0091,,66.837563
1.972865105,0.0116,,66.835063
1.986548901,0.0217,,66.824963
1.997076035,0.0034,,66.843263
2.013396978,0.0148,,66.831863
2.021967173,0.0095,,66.837163
2.033715963,0.0238,,66.822863
2.051431894,0.0115,,66.835163
2.060745955,0.0146,,66.832063
2.072250128,0.0106,,66.836063
2.089653969,0.0166,,66.830063
2.098224163,0.0179,,66.828763
2.108577013,0.0136,,66.833063
2.121584177,0.0012,,66.845463
2.132609129,0.0126,,66.834063
2.143484831,0.0259,,66.820763
2.156487226,0.0267,,66.819963
2.167973042,0.0153,,66.831363
2.18503809,0.0166,,66.830063
2.194508076,0.0134,,66.833263
2.215295076,0.03,,66.816663
2.217126131,0.0042,,66.842463
2.230362177,0.0126,,66.834063
2.241957188,0.0099,,66.836763
2.254460096,0.0201,,66.826563
2.26625824,0.0113,,66.835363
2.278557062,0.0062,,66.840463
2.290807009,0.0212,,66.825463
2.303074121,0.02,,66.826663
2.315342188,0.0158,,66.830863
2.32823801,0.0003,,66.846363
2.340030909,0.0101,,66.836563
2.352302074,0.0072,,66.839463
2.364552021,0.0002,,66.846463
2.376835108,0.0022,,66.844463
2.389145136,0.0128,,66.833863
2.401422977,0.004,,66.842663
2.414494991,0.0065,,66.840163
2.432680845,0.011,,66.835663
2.439508915,0.0002,,66.846463
2.450535059,0.0026,,66.844063
2.463191032,0.0002,,66.846463
2.475099087,0.0056,,66.841063
2.487409115,0.0047,,66.841963
2.499614954,0.0072,,66.839463
2.511922836,0.0066,,66.840063
2.524253845,0.0002,,66.846463
2.536514997,0.0177,,66.828963
2.548795223,0.0083,,66.838363
2.561068058,0.002,,66.844663
2.573389053,0.0091,,66.837563
2.585639238,0.021,,66.825663
2.597975969,0.0055,,66.841163
2.610334873,0.0168,,66.829863
2.622682095,0.0229,,66.823763
2.63522315,0.002,,66.844663
2.64706707,0.0144,,66.832263
2.661306143,0.0116,,66.835063
2.671648026,0.0175,,66.829163
2.683944941,0.008,,66.838663
2.69618988,0.0171,,66.829563
2.708503962,0.0091,,66.837563
2.720880032,0.0124,,66.834263
2.733071089,0.01,,66.836663
2.74543786,0.0055,,66.841163
2.757690191,0.0189,,66.827763
2.769934177,0.0189,,66.827763
2.782391071,0.013,,66.833663
2.795645952,0.0125,,66.834163
2.807471037,0.0012,,66.845463
2.819519997,0.0017,,66.844963
2.832129002,0.0124,,66.834263
2.846342087,0.0059,,66.840763
2.857044935,0.0103,,66.836363
2.868862867,0.0085,,66.838163
2.880913258,0.0145,,66.832163
2.89349699,0.0096,,66.837063
2.905236006,0.0009,,66.845763
2.917549133,0.0081,,66.838563
2.930179119,0.008,,66.838663
2.946163893,0.0085,,66.838163
2.958420038,0.0193,,66.827363
2.970638037,0.0313,,66.815363
2.982885122,0.0121,,66.834563
2.995264053,0.0203,,66.826363
3.007522106,0.0008,,66.845863
3.019874096,0.0125,,66.834163
3.032285213,0.0078,,66.838863
3.04494524,0.0033,,66.843363
3.057637215,0.0003,,66.846363
3.069032907,0.0275,,66.819163
3.081909895,0.0162,,66.830463
3.09665823,0.0045,,66.842163
3.106274128,0.0101,,66.836563
3.118179083,0.0242,,66.822463
3.131577015,0.0317,,66.814963
3.146173954,0.0219,,66.824763
3.155169964,0.0191,,66.827563
3.167563915,0.0224,,66.824263
3.179708242,0.0295,,66.817163
3.192231894,0.0241,,66.822563
3.204359055,0.0114,,66.835263
3.220399141,0.0129,,66.833763
3.232772112,0.0064,,66.840263
3.245029211,0.008,,66.838663
3.257339239,0.0164,,66.830263
3.26965189,0.005,,66.841663
3.282988071,0.0093,,66.837363
3.294729948,0.0081,,66.838563
3.306657076,0.0067,,66.839963
3.31892705,0.0063,,66.840363
3.331163168,0.0112,,66.835463
3.345399141,0.0013,,66.845363
3.356317282,0.0147,,66.831963
3.368072033,0.0159,,66.830763
3.380387068,0.0157,,66.830963
3.395114899,0.0072,,66.839463
3.404872894,0.0203,,66.826363
3.41784215,0.0246,,66.822063
3.429638147,0.0064,,66.840263
3.442198038,0.0007,,66.845963
3.454172134,0.0066,,66.840063
3.466407061,0.0009,,66.845763
3.47874403,0.002,,66.844663
3.495739222,0.0014,,66.845263
3.507578135,0.0051,,66.841563
3.519486904,0.0004,,66.846263
3.531809092,0.0021,,66.844563
3.545022011,0.0133,,66.833363
3.55646801,0.0231,,66.823563
3.568743229,0.0146,,66.832063
3.581182957,0.0141,,66.832563
3.595812082,0.0161,,66.830563
3.605781078,0.0269,,66.819763
3.617885828,0.0069,,66.839763
3.630469084,0.0203,,66.826363
3.642510176,0.0285,,66.818163
3.654668093,0.0128,,66.833863
3.666936159,0.0137,,66.832963
3.679689884,0.0018,,66.844863
3.691621065,0.0162,,66.830463
3.703922272,0.0287,,66.817963
3.716135263,0.0201,,66.826563
3.728921175,0.0083,,66.838363
3.740899086,0.0078,,66.838863
3.753005981,0.0122,,66.834463
3.769273043,0.0043,,66.842363
3.782624006,0.0267,,66.819963
3.796200991,0.0328,,66.813863
3.806186914,0.0152,,66.831463
3.820112228,0.0072,,66.839463
3.831844091,0.0263,,66.820363
3.845515966,0.0278,,66.818863
3.855350971,0.0125,,66.834163
3.867791176,0.0226,,66.824063
3.880223036,0.0407,,66.805963
3.892802954,0.0379,,66.808763
3.90458703,0.0139,,66.832763
3.916838169,0.0321,,66.814563
3.929498196,0.0498,,66.796863
3.943403959,0.0451,,66.801563
3.953724861,0.0445,,66.802163
3.966104984,0.0413,,66.805363
3.97954917,0.0199,,66.826763
3.990793943,0.0408,,66.805863
4.00379324,0.0371,,66.809563
4.015182018,0.0184,,66.828263
4.028623104,0.0106,,66.836063
4.044374943,0.0065,,66.840163
4.056348085,0.0032,,66.843463
4.068333149,0.0038,,66.842863
4.080613136,0.0085,,66.838163
4.09385705,0.0027,,66.843963
4.105191231,0.0056,,66.841063
4.117503881,0.0012,,66.845463
4.129805088,0.0005,,66.846163
4.142380953,0.0229,,66.823763
4.154380083,0.0095,,66.837163
4.166664839,0.0156,,66.831063
4.179369926,0.0156,,66.831063
4.192224026,0.019,,66.827663
4.20348525,0.0289,,66.817763
4.215836048,0.0362,,66.810463
4.22837615,0.0324,,66.814263
4.240385056,0.011,,66.835663
4.252668142,0.0175,,66.829163
4.265099049,0.0405,,66.806163
4.277336121,0.0259,,66.820763
4.290067911,0.0105,,66.836163
4.302012205,0.0065,,66.840163
4.318941832,0.0199,,66.826763
4.330725193,0.0124,,66.834263
4.342844963,0.028,,66.818663
4.355058908,0.0239,,66.822763
4.367555141,10.6486,,56.198063
4.379866123,2.6273,,64.219363
4.391916037,4.5272,,62.319463
4.404252052,6.433,,60.413663
4.418087244,9.03,,57.816663
4.429043055,11.4122,,55.434463
4.441189051,13.3625,,53.484163
4.453376055,15.362,,51.484663
4.46598506,17.8917,,48.954963
4.482645035,21.444,,45.402663
4.494342089,26.2099,,40.636763
4.506739855,32.0894,,34.757263
4.518893003,38.7229,,28.123763
4.531369925,45.2674,,21.579263
4.545268059,50.9185,,15.928163
4.555863142,55.1001,,11.746563
4.568445921,57.808,,9.038663
4.584336042,59.679,,7.167663
4.59683919,61.304,,5.542663
4.609573126,63.0076,,3.839063
4.621330976,64.5858,,2.260863
4.633663893,65.857,,0.989663
4.646256208,66.6947,,0.151963
4.65822196,67.0162,,-0.169537
4.670541048,66.8577,,-0.011037
4.68298316,66.38,,0.466663
4.699337959,65.8022,,1.044463
4.711373091,64.7359,,2.110763
4.723790169,63.9893,,2.857363
4.735944986,63.0861,,3.760563
4.748296976,62.0335,,4.813163
4.760605097,60.9634,,5.883263
4.7733922,59.9532,,6.893463
4.785234928,59.0594,,7.787263
4.797698975,58.3947,,8.451963
4.813699007,57.898,,8.948663
4.82646203,57.5981,,9.248563
4.838568926,57.7591,,9.087563
4.850695848,58.2083,,8.638363
4.86332202,58.5792,,8.267463
4.876494169,58.9124,,7.934263
4.890041113,59.5375,,7.309163
4.900402069,59.9806,,6.866063
4.912273169,60.5291,,6.317563
4.924523115,61.0619,,5.784763
4.94076705,61.5338,,5.312863
4.95342207,62.2236,,4.623063
4.965363979,63.8234,,3.023263
4.978375912,66.1305,,0.716163
4.98989892,66.4409,,0.405763
5.002266169,66.5032,,0.343463
5.014534235,67.9105,,-1.063837
5.026869059,69.5033,,-2.656637
5.040519238,70.4067,,-3.560037
5.056621075,69.1416,,-2.294937
5.067718029,67.3039,,-0.457237
5.080797911,65.2213,,1.625363
5.092410088,63.3719,,3.474763
5.109622955,62.0741,,4.772563
5.118631124,61.4281,,5.418563
5.131204128,61.3495,,5.497163
5.14295125,61.8209,,5.025763
5.153929949,62.6941,,4.152563
5.170120955,63.7757,,3.070963
5.18238306,64.8372,,2.009463
5.194756031,65.7882,,1.058463
5.208241224,66.4419,,0.404763
5.219321012,66.4776,,0.369063
5.23169899,66.096,,0.750663
5.243933916,65.6882,,1.158463
5.256923199,65.3624,,1.484263
5.268553019,65.1573,,1.689363
5.284732819,65.0743,,1.772363
5.297448874,65.1892,,1.657463
5.30985713,65.5077,,1.338963
5.321693182,65.9051,,0.941563
5.334481239,66.3336,,0.513063
5.346313953,66.7841,,0.062563
5.360245943,67.0619,,-0.215237
5.371569157,67.1368,,-0.290137
5.383516073,66.671,,0.175663
5.399372101,66.3346,,0.512063
5.411758184,66.0327,,0.813963
5.424844027,65.8906,,0.956063
5.436765194,65.9207,,0.925963
5.448703051,66.1579,,0.688763
5.462768078,66.5053,,0.341363
5.474127054,66.7781,,0.068563
5.485610962,66.8804,,-0.033737
5.497910023,66.8845,,-0.037837
5.514111042,67.0234,,-0.176737
5.526370049,67.3043,,-0.457637
5.538794994,67.4173,,-0.570637
5.551026821,67.1598,,-0.313137
5.563472033,67.0016,,-0.154937
5.575575113,66.8565,,-0.009837
5.588070154,66.6877,,0.158963
5.600154161,66.3131,,0.533563
5.61265707,65.971,,0.875663
5.624799967,66.0295,,0.817163
5.641224861,66.6717,,0.174963
5.653450012,67.5058,,-0.659137
5.666382074,67.8707,,-1.024037
5.678153038,68.9777,,-2.131037
5.6904881,70.6571,,-3.810437
5.704257011,70.652,,-3.805337
5.71511817,69.7782,,-2.931537
5.728155136,66.701,,0.145663
5.761724234,64.991,,1.855663
5.764565945,63.1526,,3.694063
5.770059109,61.3696,,5.477063
5.780468941,59.9552,,6.891463
5.794002056,58.9847,,7.861963
5.805047989,58.3705,,8.476163
5.817718029,57.7797,,9.066963
5.829895973,57.2526,,9.594063
5.841977119,58.5025,,8.344163
5.854247093,61.6858,,5.160863
5.8704319,64.0126,,2.834063
5.882762909,64.9833,,1.863363
5.895105124,67.2191,,-0.372437
5.908002138,68.6621,,-1.815437
5.924973965,70.3122,,-3.465537
5.934355021,71.3136,,-4.466937
5.945044041,71.2413,,-4.394637
5.958039999,70.3865,,-3.539837
5.969413042,69.2754,,-2.428737
5.985074997,68.3076,,-1.460937
5.99745822,67.472,,-0.625337
6.009740114,66.9032,,-0.056537
6.023509979,66.5635,,0.283163
6.03439784,66.4831,,0.363563
6.047743082,66.7761,,0.070563
6.061213255,66.7419,,0.104763
6.071305037,66.0199,,0.826763
6.083606958,65.1259,,1.720763
6.099777937,64.103,,2.743663
6.112061024,63.0109,,3.835763
6.124469042,61.9997,,4.846963
6.136678219,60.9971,,5.849563
6.149309874,60.133,,6.713663
6.161703825,60.1291,,6.717563
6.174129248,60.5599,,6.286763
6.186104059,61.252,,5.594663
6.198397875,62.7884,,4.058263
6.214488983,65.7382,,1.108463
6.227014065,70.5475,,-3.700837
6.241655111,70.7102,,-3.863537
6.251420259,69.4775,,-2.630837
6.26394701,67.27,,-0.423337
6.276731014,64.8924,,1.954263
6.290993214,63.0518,,3.794863
6.300658226,62.0581,,4.788563
6.313996077,61.8578,,4.988863
6.325293064,62.3589,,4.487763
6.341426134,63.3525,,3.494163
6.353806019,64.5744,,2.272263
6.36631918,65.7617,,1.084963
6.378408909,66.6406,,0.206063
6.391330957,67.0801,,-0.233437
6.403021097,67.5018,,-0.655137
6.415307045,67.6851,,-0.838437
6.427680016,67.9041,,-1.057437
6.440944195,68.1152,,-1.268537
6.458619118,68.2482,,-1.401537
6.468458891,68.3297,,-1.483037
6.481103182,68.4382,,-1.591537
6.493672848,68.6463,,-1.799637
6.506954908,68.7417,,-1.895037
6.517607927,68.6901,,-1.843437
6.52996707,68.4525,,-1.605837
6.543113947,68.0344,,-1.187737
6.55805707,67.4697,,-0.623037
6.570826054,66.2415,,0.605163
6.583123922,65.6492,,1.197463
6.59672904,65.0557,,1.790963
6.608646154,64.4754,,2.371263
6.620166063,63.8934,,2.953263
6.632569075,63.2954,,3.551263
6.645046949,62.7518,,4.094863
6.657889128,62.2168,,4.629863
6.669309855,61.617,,5.229663
6.685504913,61.0155,,5.831163
6.698553085,60.4318,,6.414863
6.710946083,59.8734,,6.973263
6.722940922,59.4192,,7.427463
6.736022949,58.9902,,7.856463
6.747093916,58.923,,7.923663
6.759649992,58.7256,,8.121063
6.771830082,58.362,,8.484663
6.784038067,57.9072,,8.939463
6.801472902,57.531,,9.315663
6.812506199,57.1189,,9.727763
6.824880123,56.6406,,10.206063
6.837149143,56.2976,,10.549063
6.849351883,56.2631,,10.583563
6.861721992,56.4464,,10.400263
6.874793053,56.5056,,10.341063
6.886277199,55.9507,,10.895963
6.898630142,52.7645,,14.082163
6.911104918,50.6625,,16.184163
6.929999113,48.6304,,18.216263
6.940979004,47.0141,,19.832563
6.951843023,46.0937,,20.752963
6.96424222,45.8871,,20.959563
6.977161884,46.4363,,20.410363
6.990364075,47.7667,,19.079963
7.00101614,49.7143,,17.132363
7.013456106,51.7871,,15.059563
7.025714874,53.5973,,13.249363
7.041862249,55.0739,,11.772763
7.054222107,56.3141,,10.532563
7.066469193,57.2508,,9.595863
7.078776121,58.1053,,8.741363
7.091701031,58.218,,8.628663
7.103439093,58.2998,,8.546863
7.115699053,58.5145,,8.332163
7.128014088,58.8893,,7.957363
7.14120698,59.3959,,7.450763
7.157445192,59.9438,,6.902863
7.169651985,60.5433,,6.303363
7.181154013,61.1693,,5.677363
7.193596125,61.7999,,5.046763
7.206440926,62.3634,,4.483263
7.21806097,62.7553,,4.091363
7.23086524,62.9777,,3.868963
7.242800236,62.8788,,3.967863
7.255228043,62.5904,,4.256263
7.271189928,62.2644,,4.582263
7.283535004,62.0266,,4.820063
7.296051025,61.8895,,4.957163
7.308800936,61.7716,,5.075063
7.320432186,61.7305,,5.116163
7.333653927,61.8736,,4.973063
7.346605062,62.102,,4.744663
7.358010054,62.4923,,4.354363
7.369639158,63.0837,,3.762963
7.394040108,63.8408,,3.005863
7.400167942,64.6471,,2.199563
7.415266991,66.232,,0.614663
7.422871113,67.1013,,-0.254637
7.435163021,67.8116,,-0.964937
7.447648048,68.1827,,-1.336037
7.459746122,68.1307,,-1.284037
7.474513054,67.7385,,-0.891837
7.484667063,67.272,,-0.425337
7.50058794,66.8916,,-0.044937
7.51287818,66.7123,,0.134363
7.525169134,66.7567,,0.089963
7.539267063,66.8466,,6.3E-05
7.549806118,66.9175,,-0.070837
7.563092947,66.9597,,-0.113037
7.575444937,66.741,,0.105663
7.587152004,66.569,,0.277663
7.59962225,66.6244,,0.222263
7.611396074,67.0922,,-0.245537
7.627549887,67.8903,,-1.043637
7.640490055,68.8,,-1.953337
7.652148962,69.3832,,-2.536537
7.664448023,69.3696,,-2.522937
7.676713943,68.894,,-2.047337
7.689120054,68.1968,,-1.350137
7.701414108,67.5692,,-0.722537
7.71370101,67.2629,,-0.416237
7.725956202,67.3325,,-0.485837
7.74221015,0.8666,,65.980063
7.754689932,239.6061,,-172.759437
7.766834974,67.7808,,-0.934137
7.77918005,67.7808,,-0.934137
7.794126987,67.9016,,-1.054937
7.804240227,68.1481,,-1.301437
7.816049099,68.313,,-1.466337
7.828466177,68.3071,,-1.460437
7.841320992,68.115,,-1.268337
7.857484102,67.809,,-0.962337
7.869214058,67.5317,,-0.685037
7.881522894,67.3473,,-0.500637
7.893958092,67.2129,,-0.366237
7.906263113,67.0686,,-0.221937
7.918971062,66.2444,,0.602263
7.930786133,65.7178,,1.128863
7.945658207,65.2189,,1.627763
7.956438065,64.817,,2.029663
7.971898079,64.4492,,2.397463
7.983891964,64.2004,,2.646263
7.996258974,64.1915,,2.655163
8.008685112,64.3524,,2.494263
8.021213293,64.633,,2.213663
8.033501148,65.0403,,1.806363
8.045572996,65.4191,,1.427563
8.057781935,65.7721,,1.074563
8.070039034,66.0794,,0.767263
8.088021994,66.1507,,0.695963
8.098546982,65.8683,,0.978363
8.111733913,65.6139,,1.232763
8.123168945,65.3985,,1.448163
8.135488033,65.1149,,1.731763
8.147843122,64.8558,,1.990863
8.160198212,64.7841,,2.062563
8.172571182,65.0362,,1.810463
8.185386896,65.529,,1.317663
8.201091051,66.046,,0.800663
8.215121031,66.383,,0.463663
8.225550175,66.5987,,0.247963
8.238209009,66.7973,,0.049363
8.250432014,67.598,,-0.751337
8.263207912,67.9961,,-1.149437
8.275014162,68.3373,,-1.490637
8.287117958,68.5389,,-1.692237
8.299402952,68.5992,,-1.752537
8.312375069,68.3414,,-1.494737
8.32811594,67.8951,,-1.048437
8.343312025,67.4119,,-0.565237
8.3526299,66.8818,,-0.035137
8.364911079,66.4102,,0.436463
8.377177,66.1804,,0.666263
8.389901161,66.2584,,0.588263
8.401837111,66.5235,,0.323163
8.414040089,66.5947,,0.251963
8.438160181,66.4657,,0.380963
8.443263054,66.4148,,0.431863
8.45866704,66.5607,,0.285963
8.468655109,66.8758,,-0.029137
8.480264902,67.1745,,-0.327837
8.494369984,67.3636,,-0.516937
8.504256964,67.3771,,-0.530437
8.517726898,67.2482,,-0.401537
8.530216932,67.0252,,-0.178537
8.541690111,66.7955,,0.051163
8.557468176,66.6509,,0.195763
8.569593191,66.5156,,0.331063
8.581892014,66.4177,,0.428963
8.594281912,66.0893,,0.757363
8.606550932,65.8372,,1.009463
8.618845224,65.6276,,1.219063
8.631301165,65.5541,,1.292563
8.643511057,65.6751,,1.171563
8.655754089,65.9371,,0.909563
8.674273014,66.1703,,0.676363
8.684650898,66.2145,,0.632163
8.700413942,66.0838,,0.762863
8.709805012,65.9008,,0.945863
8.725441933,65.7502,,1.096463
8.734906197,65.6806,,1.166063
8.746270895,65.7577,,1.088963
8.758481026,66.2422,,0.604463
8.770801067,66.5484,,0.298263
8.786642075,66.9424,,-0.095737
8.799305916,67.4366,,-0.589937
8.812334061,67.9925,,-1.145837
8.827007055,68.455,,-1.608337
8.844995975,68.6079,,-1.761237
8.849601984,68.4078,,-1.561137
8.863003016,68.0019,,-1.155237
8.877331018,67.5521,,-0.705437
8.892266989,67.0434,,-0.196737
8.902323008,66.4773,,0.369363
8.913629293,65.8682,,0.978463
8.926278114,65.2588,,1.587863
8.938276052,65.4581,,1.388563
8.950529099,65.8634,,0.983263
8.962841034,66.2952,,0.551463
8.975328922,66.5589,,0.287763
8.987498999,66.6413,,0.205363
8.999697208,66.6102,,0.236463
9.012163162,66.5921,,0.254563
9.028259039,66.6602,,0.186463
9.046867847,66.8885,,-0.041837
9.052900076,67.2351,,-0.388437
9.066769123,67.832,,-0.985337
9.078457117,68.5589,,-1.712237
9.090465069,69.5257,,-2.679037
9.102147102,69.349,,-2.502337
9.116621971,68.8122,,-1.965537
9.126692057,68.1437,,-1.297037
9.14307189,67.5616,,-0.714937
9.155328035,67.1183,,-0.271637
9.174428225,66.7733,,0.073363
9.183284998,66.5746,,0.272063
9.193120003,66.55,,0.296663
9.204554081,66.7673,,0.079363
9.217166185,67.1252,,-0.278537
9.229063272,67.5242,,-0.677537
9.241410017,67.9121,,-1.065437
9.257935047,68.1481,,-1.301437
9.26996088,68.1636,,-1.316937
9.282276154,67.9546,,-1.107937
9.294591904,67.6632,,-0.816537
9.306967974,67.3789,,-0.532237
9.319184065,67.3578,,-0.511137
9.33199501,67.5219,,-0.675237
9.343762875,67.7258,,-0.879137
9.356169939,67.9156,,-1.068937
9.37234807,68.0106,,-1.163937
9.384668112,68.0796,,-1.232937
9.39696312,68.1059,,-1.259237
9.409298897,67.9368,,-1.090137
9.426805973,67.509,,-0.662337
9.433923006,66.9216,,-0.074937
9.447551966,66.9666,,-0.119937
9.45857811,67.1711,,-0.324437
9.471412897,67.3107,,-0.464037
9.487022161,67.3671,,-0.520437
9.500438929,67.3727,,-0.526037
9.512024164,67.3173,,-0.470637
9.526294947,67.2228,,-0.376137
9.536390066,67.1257,,-0.279037
9.548875093,67.0086,,-0.161937
9.561095238,66.768,,0.078663
9.577854872,66.4543,,0.392363
9.585647106,66.0852,,0.761463
9.597814083,65.3677,,1.478963
9.613996983,64.9963,,1.850363
9.626620054,64.7189,,2.127763
9.638713121,64.5604,,2.286263
9.651172161,64.3891,,2.457563
9.663968086,64.1897,,2.656963
9.677165985,64.0229,,2.823763
9.688316822,63.8855,,2.961163
9.700498819,63.8357,,3.010963
9.712535143,63.8337,,3.012963
9.728687048,63.8688,,2.977863
9.741018057,63.9139,,2.932763
9.753298998,63.9041,,2.942563
9.765596151,63.846,,3.000663
9.777868032,63.7752,,3.071463
9.792699099,63.6528,,3.193863
9.804206133,63.5235,,3.323163
9.814934015,63.5987,,3.247963
9.82841897,63.8223,,3.024363
9.845063925,64.0503,,2.796363
9.859074116,64.2992,,2.547463
9.868098021,64.5955,,2.251163
9.880323172,64.9194,,1.927263
9.89353323,65.3447,,1.501963
9.905632973,65.9225,,0.924163
9.917195082,66.5297,,0.316963
9.929757118,67.0195,,-0.172837
9.941884995,67.0903,,-0.243637
9.958042145,66.6909,,0.155763
9.970321178,66.1241,,0.722563
9.982670069,65.3954,,1.451263
9.994899035,64.6285,,2.218163
10.00744915,63.8928,,2.953863
10.01953602,63.1932,,3.653463
10.03182411,62.4915,,4.355163
10.04770398,61.8075,,5.039163
10.06544995,61.2541,,5.592563
10.08574104,60.9569,,5.889763
10.09487104,61.0586,,5.788063
10.10319304,61.5672,,5.279463
